iter	RMSE
0	109339.8551
1	107239.5692
2	105286.9668
3	103460.9796
4	101820.75
5	100254.3043
6	98794.44859
7	97469.51644
8	96180.54531
9	94982.15136
10	93863.65892
11	92834.84473
12	91900.92692
13	91036.43641
14	90247.53109
15	89452.35358
16	88737.86756
17	88030.97957
18	87373.02678
19	86768.75406
20	86207.98091
21	85709.89223
22	85190.14965
23	84709.02689
24	84250.11148
25	83834.13617
26	83406.08401
27	83021.92458
28	82679.20554
29	82339.66795
30	82024.9458
31	81731.13006
32	81432.08642
33	81180.78517
34	80925.64419
35	80693.67275
36	80445.52002
37	80213.55721
38	79996.09776
39	79797.6234
40	79580.75371
41	79385.47705
42	79190.33792
43	78992.92857
44	78794.99204
45	78604.57174
46	78430.01584
47	78284.82488
48	78134.6279
49	77992.35913
50	77869.53198
51	77719.54216
52	77578.78466
53	77469.07271
54	77326.51714
55	77206.56878
56	77085.44598
57	76957.61041
58	76846.65541
59	76746.22685
60	76647.11633
61	76533.32205
62	76446.78463
63	76344.76045
64	76234.01637
65	76143.19399
66	76040.54101
67	75949.2275
68	75871.43662
69	75773.37426
70	75679.94453
71	75588.42737
72	75517.35864
73	75451.72106
74	75382.09248
75	75304.1409
76	75214.45906
77	75104.57958
78	75033.12784
79	74961.39255
80	74906.48089
81	74851.92926
82	74780.85227
83	74706.70784
84	74631.93665
85	74581.77074
86	74497.65567
87	74411.3912
88	74362.57533
89	74309.30456
90	74242.38185
91	74171.60717
92	74118.14743
93	74056.0869
94	73978.18498
95	73913.68626
96	73826.19182
97	73761.77584
98	73677.04166
99	73627.02679
100	73576.14117
101	73521.75141
102	73466.66684
103	73422.38714
104	73368.66773
105	73312.88068
106	73241.82077
107	73198.72703
108	73154.86583
109	73097.47647
110	73048.22109
111	72976.69777
112	72929.97233
113	72867.73012
114	72785.33716
115	72725.54677
116	72682.08122
117	72633.89018
118	72592.06271
119	72519.88371
120	72474.93736
121	72436.20518
122	72389.49607
123	72332.38943
124	72280.89819
125	72229.99594
126	72169.45763
127	72134.3705
128	72078.85947
129	72035.67936
130	71992.00315
131	71930.88893
132	71876.66632
133	71826.73643
134	71792.82863
135	71741.70169
136	71696.65615
137	71663.46501
138	71623.94303
139	71580.74791
140	71538.98089
141	71481.50507
142	71436.11289
143	71393.872
144	71350.79202
145	71299.25431
146	71273.07248
147	71237.07699
148	71191.19653
149	71151.89628
150	71101.6196
151	71053.90574
152	70982.02187
153	70935.81148
154	70896.78732
155	70834.33406
156	70771.66453
157	70726.39707
158	70669.8379
159	70605.14486
160	70560.51685
161	70525.90388
162	70476.70774
163	70447.10644
164	70397.93275
165	70317.91654
166	70277.3494
167	70225.44093
168	70174.49765
169	70139.49938
170	70107.64619
171	70078.71568
172	70047.50073
173	70008.4486
174	69969.17477
175	69930.39524
176	69900.79442
177	69871.06306
178	69842.28686
179	69814.98283
180	69773.14138
181	69744.39901
182	69713.60984
183	69663.21567
184	69614.89013
185	69569.80973
186	69524.07247
187	69478.85935
188	69424.88035
189	69360.33997
190	69337.75892
191	69307.86219
192	69264.59731
193	69225.72421
194	69201.86468
195	69163.60277
196	69130.92553
197	69075.85238
198	69043.65948
199	68983.74979
200	68958.1427
201	68909.04847
202	68876.69845
203	68852.21779
204	68799.11237
205	68768.34214
206	68742.44688
207	68701.10647
208	68660.87314
209	68634.36886
210	68609.14645
211	68570.96755
212	68527.7982
213	68492.23598
214	68474.21678
215	68442.28733
216	68417.01151
217	68379.21061
218	68324.90691
219	68292.76512
220	68257.10215
221	68228.6767
222	68197.06126
223	68161.43129
224	68133.53881
225	68107.05604
226	68077.2016
227	68047.67856
228	68008.16664
229	67970.01819
230	67930.65535
231	67905.01726
232	67877.13567
233	67841.61536
234	67809.2632
235	67771.82856
236	67736.5905
237	67698.14583
238	67668.75343
239	67632.35672
240	67586.28732
241	67534.01679
242	67496.13808
243	67447.70651
244	67408.67813
245	67369.23416
246	67323.08561
247	67290.03303
248	67265.33263
249	67229.23829
250	67185.9818
251	67154.38508
252	67130.87302
253	67099.70551
254	67057.80437
255	67029.51709
