iter	Passed	Remaining
0	104	104793
1	140	70117
2	174	57948
3	207	51649
4	238	47550
5	273	45297
6	308	43792
7	340	42271
8	372	41016
9	405	40164
10	443	39875
11	475	39129
12	509	38719
13	542	38213
14	574	37747
15	608	37407
16	644	37243
17	681	37188
18	718	37100
19	752	36894
20	788	36761
21	824	36654
22	862	36631
23	899	36571
24	933	36423
25	964	36147
26	998	35986
27	1035	35929
28	1069	35799
29	1105	35737
30	1143	35734
31	1180	35711
32	1214	35583
33	1248	35476
34	1290	35567
35	1325	35484
36	1359	35382
37	1396	35341
38	1430	35258
39	1462	35105
40	1492	34912
41	1526	34820
42	1562	34773
43	1594	34651
44	1628	34558
45	1662	34486
46	1702	34515
47	1735	34417
48	1767	34305
49	1800	34215
50	1833	34125
51	1867	34050
52	1899	33938
53	1933	33872
54	1966	33784
55	2000	33729
56	2036	33693
57	2069	33605
58	2103	33543
59	2137	33490
60	2173	33461
61	2205	33373
62	2241	33332
63	2271	33225
64	2303	33139
65	2337	33074
66	2371	33028
67	2405	32967
68	2439	32913
69	2473	32857
70	2507	32804
71	2540	32739
72	2573	32679
73	2608	32644
74	2645	32629
75	2680	32593
76	2713	32527
77	2744	32446
78	2775	32355
79	2805	32260
80	2839	32212
81	2869	32127
82	2903	32082
83	2941	32076
84	2972	32003
85	3008	31977
86	3042	31926
87	3074	31863
88	3111	31851
89	3146	31814
90	3183	31795
91	3214	31728
92	3247	31676
93	3284	31656
94	3318	31615
95	3350	31553
96	3381	31476
97	3411	31397
98	3441	31324
99	3472	31256
100	3506	31214
101	3545	31211
102	3581	31186
103	3617	31162
104	3652	31133
105	3690	31125
106	3725	31088
107	3760	31061
108	3794	31020
109	3828	30978
110	3862	30935
111	3896	30895
112	3933	30879
113	3967	30832
114	3998	30772
115	4033	30738
116	4071	30725
117	4110	30726
118	4146	30696
119	4183	30676
120	4222	30672
121	4257	30643
122	4292	30609
123	4332	30606
124	4370	30593
125	4406	30565
126	4444	30548
127	4487	30567
128	4523	30545
129	4561	30524
130	4598	30503
131	4635	30479
132	4671	30450
133	4706	30418
134	4744	30398
135	4782	30382
136	4819	30356
137	4852	30312
138	4892	30303
139	4925	30259
140	4958	30207
141	4992	30163
142	5027	30130
143	5061	30085
144	5095	30043
145	5127	29993
146	5160	29944
147	5194	29904
148	5227	29854
149	5261	29815
150	5296	29781
151	5329	29735
152	5363	29689
153	5393	29631
154	5426	29581
155	5457	29528
156	5491	29488
157	5527	29455
158	5562	29421
159	5596	29381
160	5629	29338
161	5665	29307
162	5704	29292
163	5738	29252
164	5769	29198
165	5801	29148
166	5836	29110
167	5867	29056
168	5899	29010
169	5936	28981
170	5969	28938
171	6002	28897
172	6037	28861
173	6072	28824
174	6104	28779
175	6138	28739
176	6174	28708
177	6209	28674
178	6241	28629
179	6275	28588
180	6308	28543
181	6340	28498
182	6375	28461
183	6407	28417
184	6440	28373
185	6478	28353
186	6514	28321
187	6545	28271
188	6578	28229
189	6611	28185
190	6646	28152
191	6678	28106
192	6710	28058
193	6743	28017
194	6777	27977
195	6810	27935
196	6842	27889
197	6875	27849
198	6909	27810
199	6942	27769
200	6976	27733
201	7014	27710
202	7050	27679
203	7087	27655
204	7121	27616
205	7155	27581
206	7188	27537
207	7219	27489
208	7251	27445
209	7286	27409
210	7320	27374
211	7352	27327
212	7385	27288
213	7419	27250
214	7452	27210
215	7485	27170
216	7520	27136
217	7556	27108
218	7593	27079
219	7627	27043
220	7665	27019
221	7707	27009
222	7743	26980
223	7780	26952
224	7816	26923
225	7854	26901
226	7890	26868
227	7926	26838
228	7960	26802
229	7995	26766
230	8032	26741
231	8068	26711
