feature,importance
turn_cur_cr_avg_act_v2,0.23062076082144908
turn_cur_db_avg_act_v2,0.049187097755327217
turn_cur_cr_avg_v2,0.04373694931231121
turn_cur_cr_sum_v2,0.04147097893312883
hdb_bki_total_max_limit,0.03447319564096742
incomeValue,0.018158504449440407
hdb_bki_total_cc_max_limit,0.015840272240872488
hdb_bki_total_pil_max_limit,0.014826458103804648
turn_cur_db_avg_v2,0.013174962493837223
curr_rur_amt_3m_avg,0.013168129854141888
turn_cur_db_sum_v2,0.010629808761799031
hdb_bki_active_cc_max_limit,0.01050642306332291
turn_cur_cr_max_v2,0.009905995844255378
avg_cur_cr_turn,0.00974614245285632
age,0.009327015933766988
avg_by_category__amount__sum__cashflowcategory_name__vydacha_nalichnyh_v_bankomate,0.008472192044832485
per_capita_income_rur_amt,0.007952641550877843
label_Above_1M_share_r1,0.007943673345452408
days_to_last_transaction,0.007619350754737041
dda_rur_amt_curr_v2,0.00723571368341567
profit_income_out_rur_amt_l2m,0.007192677004361507
hdb_bki_last_product_days,0.0071672732735467036
uniV5,0.006870451552845336
turn_cur_cr_7avg_avg_v2,0.006801798904434854
avg_transaction_amount,0.006595692697968546
products_per_age,0.006574424900701557
avg_cur_db_turn,0.006485142324291114
credit_debit_ratio,0.006411471132224071
city_smart_name,0.006203893315124798
hdb_bki_total_pil_last_days,0.006122045746299645
smsInWavg6m,0.006023905536504879
bki_total_max_limit,0.005740500114382953
cntVoiceOutMob6m,0.0054698300768085874
curr_rur_amt_cm_avg,0.005460829253732536
curr_rur_amt_cm_avg_period_days_ago_v2,0.005443370756218219
mob_total_sessions,0.005439595500203296
avg_by_category__amount__sum__cashflowcategory_name__kafe,0.0053631949468449566
turn_cur_db_7avg_avg_v2,0.005302764985147057
hdb_bki_total_cnt,0.00529542643194733
balance_to_turnover,0.0052749697466605745
total_rur_amt_cm_avg,0.005249117342259075
dda_rur_amt_3m_avg,0.005192569473520278
turn_cur_db_max_v2,0.005046217351202341
turn_other_db_max_v2,0.005029049962780122
avg_credit_turn_rur,0.005019725815770961
cntBlockWavg6m,0.004966580110931809
transaction_category_supermarket_inc_cnt_2m,0.004938908711420818
hdb_relend_active_max_psk,0.004871768334245063
hdb_outstand_sum,0.004763681806038757
profit_income_out_rur_amt_12m,0.004747280077517252
gender,0.00467241227291198
diff_avg_cr_db_turn,0.004671907489979995
label_500k_to_1M_share_r1,0.004664098248304812
days_after_last_request,0.004663603160450703
hdb_relend_outstand_sum,0.004598836568353496
profit_income_out_rur_amt_9m,0.004598471287720444
avg_6m_all,0.004413225051282793
by_category__amount__sum__eoperation_type_name__vhodjaschij_bystryj_platezh_sbp,0.0044043111843339285
by_category__amount__sum__eoperation_type_name__ishodjaschij_bystryj_platezh_sbp,0.004400635874163704
curbal_usd_amt_cm_avg,0.004371442298037597
addrref,0.004298975067318725
hdb_other_outstand_sum,0.004206876142024384
hdb_bki_active_cc_max_outstand,0.004136927446444304
avg_6m_restaurants,0.0041018133436789206
turn_other_cr_sum_v2,0.004091198636352694
avg_by_category__amount__sum__cashflowcategory_name__supermarkety,0.0040794742689101325
